Category: All categories

Region,"Football: (3/10/21, 12:53 PM - 3/17/21, 12:53 PM)","American football: (3/10/21, 12:53 PM - 3/17/21, 12:53 PM)"
North Dakota,12%,88%
Alabama,25%,75%
Mississippi,26%,74%
Nebraska,36%,64%
South Dakota,29%,71%
Tennessee,35%,65%
Virginia,46%,54%
South Carolina,37%,63%
Iowa,37%,63%
Georgia,42%,58%
Louisiana,34%,66%
North Carolina,47%,53%
West Virginia,39%,61%
Oklahoma,39%,61%
New Jersey,66%,34%
Maryland,49%,51%
Massachusetts,62%,38%
Ohio,44%,56%
California,68%,32%
Illinois,58%,42%
New York,67%,33%
Oregon,56%,44%
Washington,58%,42%
Delaware,45%,55%
Arkansas,41%,59%
Kansas,47%,53%
District of Columbia,48%,52%
Connecticut,63%,37%
Texas,54%,46%
Utah,50%,50%
Rhode Island,59%,41%
Idaho,47%,53%
Pennsylvania,49%,51%
Montana,35%,65%
Indiana,47%,53%
Nevada,58%,42%
Florida,50%,50%
Michigan,47%,53%
Kentucky,47%,53%
New Mexico,51%,49%
Missouri,53%,47%
Minnesota,44%,56%
Colorado,56%,44%
Arizona,53%,47%
New Hampshire,60%,40%
Wisconsin,50%,50%
Hawaii,46%,54%
Wyoming,47%,53%
Vermont,62%,38%
Maine,52%,48%
Alaska,47%,53%
